class,name,profile description,dog description
physicist,Chien-Shiung Wu,"Chien-Shiung Wu (May 31, 1912 – February 16, 1997) was a Chinese-American particle and experimental physicist who made significant contributions in the fields of nuclear and particle physics. Wu worked on the Manhattan Project, where she helped develop the process for separating uranium into uranium-235 and uranium-238 isotopes by gaseous diffusion. She is best known for conducting the Wu experiment, which proved that parity is not conserved. This discovery resulted in her colleagues Tsung-Dao Lee and Chen-Ning Yang winning the 1957 Nobel Prize in Physics, while Wu herself was awarded the inaugural Wolf Prize in Physics in 1978. Her expertise in experimental physics evoked comparisons to Marie Curie. Her nicknames include the ""First Lady of Physics"", the ""Chinese Madame Curie"" and the ""Queen of Nuclear Research"". After the end of the war in August 1945, Wu accepted an offer of a position as an associate research professor at Columbia. She would remain at Columbia for the rest of her career, and was first named associate professor in 1952, which made her the first woman to become a tenured physics professor in university history.","Duke is a Lab/Pit mix who is medium sized and a SUPER easy to walk, as a matter of fact he is such a joy on leash that we take him on long hikes around the property and he thoroughly enjoys it. Duke likes most other dogs, and when he likes a dog, he LOVES to play, running and wrestling and is very tolerant. Duke has some resource guarding of people and decided Mom  was ""his"" and he doesn't like anyone else approaching her inside or outside the home. "
physicist,Rosalind Franklin,"Rosalind Elsie Franklin (25 July 1920 – 16 April 1958) was an English chemist and X-ray crystallographer whose work was central to the understanding of the molecular structures of DNA (deoxyribonucleic acid), RNA (ribonucleic acid), viruses, coal, and graphite. Although her works on coal and viruses were appreciated in her lifetime, her contributions to the discovery of the structure of DNA were largely recognised posthumously. Franklin is best known for her work on the X-ray diffraction images of DNA while at King's College London, particularly Photo 51, taken by Franklin's student Raymond Gosling, which led to the discovery of the DNA double helix for which Francis Crick, James Watson, and Maurice Wilkins shared the Nobel Prize in Physiology or Medicine in 1962. Watson suggested that Franklin would have ideally been awarded a Nobel Prize in Chemistry, along with Wilkins but, although there was not yet a rule against posthumous awards, the Nobel Committee generally did not make posthumous nominations.","Hambone is a young Redbone Coonhound mix. He isn't a big boy, more of a medium sized hound, hence the ""mix"" in the breed, Hambone came to us from a southern rescue partner and he has made himself right at home. Dogs really react well to him as well, even shy dogs or ones who don't tend to like everyone). He has alot of energy (as most young hounds do) and is a strong puller, so letting him run all around the fenced in play yards and expend some energy before taking a long walk is a good option. "
physicist,Mildred Dresselhaus,"Mildred Dresselhaus (née Spiewak; November 11, 1930 – February 20, 2017), known as the ""Queen of Carbon Science"", was an American nanotechnologist. She was an Institute Professor and Professor Emerita of physics and electrical engineering at the Massachusetts Institute of Technology. Dresselhaus won numerous awards including the Presidential Medal of Freedom, the National Medal of Science, the Enrico Fermi Award and the Vannevar Bush Award. Dresselhaus had a 57-year career at the Massachusetts Institute of Technology. She became Abby Rockefeller Mauze Visiting professor of electrical engineering at MIT in 1967, became a tenured faculty member in 1968, and became a professor of physics in 1983. In 1985, she was appointed the first female Institute Professor at MIT As the exotic compounds she studied became increasingly relevant to modern science and engineering, she was uniquely positioned to become a world-leading expert and write one of the standard textbooks. Her groundwork in the field led to Andre Geim and Konstantin Novoselov isolating and characterizing graphene for which they were awarded the 2010 Nobel Prize.","King Washington is a bulldog- poodle mix though he will still cause allergies in some people. He is a very strong, outgoing boy. We have been working with him on not pulling on walks, not biting at the leash when he gets excited, and on not jumping. He is a very active boy"
physicist,Shirley Ann Jackson,"Shirley Ann Jackson, (born August 5, 1946) is an American physicist, and the eighteenth president of Rensselaer Polytechnic Institute. She is the first African-American woman to have earned a doctorate at the Massachusetts Institute of Technology (MIT). She is also the second African-American woman in the United States to earn a doctorate in physics. Jackson joined the Theoretical Physics Research Department at AT&T Bell Laboratories in 1976, examining the fundamental properties of various materials. She began her time at Bell Labs by studying materials to be used in the semiconductor industry. In 1978, Jackson became part of the Scattering and Low Energy Physics Research Department, and in 1988 she moved to the Solid State and Quantum Physics Research Department. At Bell Labs, Jackson researched the optical and electronic properties of two-dimensional and quasi-two-dimensional systems. In her research, Jackson has made contributions to the knowledge of charged density waves in layered compounds, polaronic aspects of electrons in the surface of liquid helium films, and optical and electronic properties of semiconductor strained-layer superlattices. On these topics and others, she has prepared or collaborated on over 100 scientific articles.","Major is a 6 years old, male American Pit Bull Terrier. Our Major is out to break all preconceived notions you may have about pit bulls or dogs named ""Major"". He is super-affectionate with people and seems to be good with other dogs, too. Major enjoys a good walk... he sometimes pulls a bit at the start of his walks, but he usually gets settled in and is a good walker, solo or with some of the other dogs here. He seems to be housetrained (we make it a point to get him out first thing in the morning, to keep it that way) and has very good manners. He learned ""sit"" at some point in his travels, and he generally comes when called, but that might be the extent of his training so far. We all love his exuberance and his love of life. He loves going out for walks. He loves to get petted. He loves getting treats. In fact, the only thing we've found that he doesn't love is going back to his run after a trip outside. He's not stubborn about it, but he's not all that enthusiastic, either. This is a dog that just loves to be with his people."
physicist,Fabiola Gianotti,"Fabiola Gianotti (born October 29, 1960) is an Italian experimental particle physicist, and the first woman to be general director at CERN (European Organization for Nuclear Research) in Switzerland. Her mandate began on 1 January 2016 and runs for a period of five years. At its 195th Session in 2019, the CERN Council selected Gianotti for an unprecedented second term as Director-General. Her second five-year term began on 1 January 2021 and go on until 2025. This is the first time in CERN's history that a Director-General has been appointed for a full second term. Since 1996, Gianotti has worked at CERN, starting with a fellowship and continuing to become a full-time research physicist. In 2009 she was promoted to project leader and Spokesperson of the ATLAS Collaboration. She also worked on the WA70, UA2 and ALEPH experiments at CERN, where she was involved in detector development, software development and data analysis. In 2016 she was elected to be the first female Director-General of CERN. She has since been reappointed for a second term, which will end in 2025.",Rosey is a 4 year-old female Pit Bull Terrier. Rosey struggles with learning to trust new people. She is slowly gaining friends. We are working with her on teaching her ways to make friends and trust people more easily. We are also working on training that will help manage her behavior. She's learning about wearing muzzles on walks. She's learning to go in a crate calmly. She's learning that new people are fun to walk with.
physicist,Deborah S. Jin,"Deborah Shiu-lan Jin (November 15, 1968 – September 15, 2016) was an American physicist and fellow with the National Institute of Standards and Technology (NIST); Professor Adjunct, Department of Physics at the University of Colorado; and a fellow of the JILA, a NIST joint laboratory with the University of Colorado. She was considered a pioneer in polar molecular quantum chemistry. From 1995 to 1997 she worked with Eric Cornell and Carl Wieman at JILA, where she was involved in some of the earliest studies of dilute gas Bose-Einstein condensates. In 2003, Dr. Jin's team at JILA made the first fermionic condensate, a new form of matter. She used magnetic traps and lasers to cool fermionic atomic gases to less than 100 billionths of a degree above zero, successfully demonstrating quantum degeneracy and the formation of a molecular Bose-Einstein condensate. Jin was frequently mentioned as a strong candidate for the Nobel Prize in Physics. In 2002, Discover magazine recognized her as one of the 50 most important women in science. After completing her Ph.D., Jin joined Eric Cornell's group at JILA, the Joint Institute for Laboratory Astrophysics in Boulder, Colorado, as a postdoctoral researcher. This change from condensed matter to atomic physics required her to learn a new set of experimental techniques. Jin joined Cornell's group soon after they achieved the first Rubidium Bose-Einstein condensate (BEC), and performed experiments characterizing its properties.",Baby Ruth is 7 years young- she is a chocolate brown color with eyes to match and in the sun they blend with her skin. She loves to go out for walks and was shy at first with her new surrounding but warms up quickly. She likes other dogs her size.
physicist,Jess Wade,"Jessica Alice Feinmann Wade is a British physicist in the Blackett Laboratory at Imperial College London specialising in Raman spectroscopy. Her research investigates polymer-based organic light emitting diodes (OLEDs). Her public engagement work in science, technology, engineering, and mathematics (STEM) champions women in physics as well as tackling systemic biases such as gender bias on Wikipedia and racial bias on Wikipedia. Wade's research interests are in materials science, chiral materials and circular polarisation. As of 2020, Wade is a postdoctoral research associate in plastic electronics in the solid-state physics group at Imperial College London, focusing on developing and characterising light-emitting polymer thin films working with Alasdair Campbell and Matthew Fuchter.","Dre is probably never going to be the guy to take to a dog park. He’s probably never going to be the guy you could let off leash in an unfenced yard, and have him willingly return. He’s probably never going to be the guy that gets to go swim in the public pool the last day of the summer with all the other dogs. And he’s probably never going to be the guy that can coexist with chickens or smaller animals. There’s just some things he cannot do. Dre will adore your company and insist on curling up next to you at any opportunity. He will wait for you dutifully each time you leave, and he will celebrate your every return like it’s been years since he last saw you"
physicist,Clarice Phelps,"Clarice Evone Phelps (née Salone) is an American nuclear chemist researching the processing of radioactive transuranic elements at the U.S. Department of Energy's Oak Ridge National Laboratory (ORNL). She was part of ORNL's team that collaborated with the Joint Institute for Nuclear Research to discover tennessine (element 117). The International Union of Pure and Applied Chemistry (IUPAC; which, among other responsibilities, coordinates with laboratories and the public for the naming of new chemical elements), recognizes her as the first African-American woman to be involved with the discovery of a chemical element. Phelps was formerly in the US Navy Nuclear Power Program. At ORNL, Phelps manages programs in the Department of Energy's Isotope & Fuel Cycle Technology Division investigating industrial uses of nickel-63 and selenium-75. After serving in the US Navy, Phelps worked at chemical instrument company Cole-Parmer in Chicago, Illinois, but a year later, not liking the cold Chicago climate, she returned to Tennessee.:2:30 In June 2009, Phelps joined Oak Ridge National Laboratory. She started as a technician and was later promoted to research associate and program manager.:2:40 Phelps works in the Nuclear Science and Engineering Directorate as the project manager for the nickel-63 and selenium-75 industrial isotope programs. As a member of Oak Ridge's Nuclear Materials Processing Group, she is part of the research and development staff, working with ""super heavy"" transuranic isotopes that are produced mainly by nuclear transmutation. She is also a member of the Medical, Industrial and Research Isotopes Group, where she researches elements such as actinium, lanthanum, europium, and samarium.",Will Lee Fite is a Black Mouth Cur mix. He is a shy boy but warms up quickly. He is people and dog friendly.
physicist,Willie Hobbs Moore,"Willie Hobbs Moore (May 23, 1934 – March 14, 1994) was an American physicist and engineer. She was the first African American woman to earn a PhD in physics. In 1954, she began attending the University of Michigan in Ann Arbor, Michigan as a first-generation college student. There, she earned a bachelor of science in electrical engineering in 1958 and a master of science in electrical engineering in 1961. In 1972, she earned a doctorate in physics from the University of Michigan, making her the first African American woman to receive a PhD in physics from an American university. Her doctoral thesis, A Vibrational Analysis of Secondary Chlorides, was completed under the supervision of spectroscopist Dr. Samuel Krimm. While working toward her doctoral degree, Moore held positions at technology firms in Ann Arbor, such as KMS Industries and Datamax Corporation. She also held engineering positions at Bendix Aerospace Systems, Barnes Engineering, and Sensor Dynamics, where she conducted theoretical analysis.","Meet Sandy, this sweet girl is 8 years old! She loves to snuggle and is very food motivated. She enjoys spending time outside on walks but will require some leash work as she is very strong and has a prey drive (wants to chase all the squirrels!). "
physicist,Abdus Salam,"Mohammad Abdus Salam NI(M) SPk (/sæˈlæm/; pronounced ; 29 January 1926 – 21 November 1996), was a Pakistani theoretical physicist. He shared the 1979 Nobel Prize in Physics with Sheldon Glashow and Steven Weinberg for his contribution to the electroweak unification theory. He was the first Pakistani and Muslim to receive a Nobel Prize in science and the second from an Islamic country to receive any Nobel Prize (after Anwar Sadat of Egypt). Salam's notable achievements include the Pati–Salam model, magnetic photon, vector meson, Grand Unified Theory, work on supersymmetry and, most importantly, electroweak theory, for which he was awarded the Nobel Prize. Salam made a major contribution in quantum field theory and in the advancement of Mathematics at Imperial College London. With his student, Riazuddin, Salam made important contributions to the modern theory on neutrinos, neutron stars and black holes, as well as the work on modernising quantum mechanics and quantum field theory. As a teacher and science promoter, Salam is remembered as a founder and scientific father of mathematical and theoretical physics in Pakistan during his term as the chief scientific advisor to the president.",Duke does best on a schedule and staying active. He definitely loves to accompany his people room to room around the house. He is also quite the cuddle bug. Duke loves playing in the snow and loves playing in water as well. He knows some basic commands and takes treats gently. Duke is smart and picks up on new things quickly.
physicist,Steven Weinberg,"Steven Weinberg (/ˈwaɪnbɜːrɡ/; born May 3, 1933) is an American theoretical physicist and Nobel laureate in Physics for his contributions with Abdus Salam and Sheldon Glashow to the unification of the weak force and electromagnetic interaction between elementary particles. He holds the Josey Regental Chair in Science at the University of Texas at Austin, where he is a member of the Physics and Astronomy Departments. His research on elementary particles and physical cosmology has been honored with numerous prizes and awards, including in 1979 the Nobel Prize in Physics and 1991 the National Medal of Science. In 2004 he received the Benjamin Franklin Medal of the American Philosophical Society, with a citation that said he is ""considered by many to be the preeminent theoretical physicist alive in the world today."" He has been elected to the US National Academy of Sciences and Britain's Royal Society, as well as to the American Philosophical Society and the American Academy of Arts and Sciences.","Winston enjoys your attention, is very loyal, and prefers to be a lap dog whenever possible. He's perfect as a travel companion ( loves car rides), a buddy to share the couch with, or go hiking or jogging. He also enjoys stretching his legs on daily walks, playing fetch and happily ""sits"" upon request. Winston has lived with dogs, is friendly with them while on walks and in public,"
physicist,Peter Higgs,"Peter Ware Higgs CH FRS FRSE FInstP (born 29 May 1929) is a British theoretical physicist, Emeritus Professor in the University of Edinburgh, and Nobel Prize laureate for his work on the mass of subatomic particles. In the 1960s, Higgs proposed that broken symmetry in electroweak theory could explain the origin of mass of elementary particles in general and of the W and Z bosons in particular. This so-called Higgs mechanism, which was proposed by several physicists besides Higgs at about the same time, predicts the existence of a new particle, the Higgs boson, the detection of which became one of the great goals of physics. On 4 July 2012, CERN announced the discovery of the boson at the Large Hadron Collider. The Higgs mechanism is generally accepted as an important ingredient in the Standard Model of particle physics, without which certain particles would have no mass.","Miss Pretzel is a 12-month-old female American Staffordshire Terrier mix. She absolutely loves children and has even exceptionally behaved with a special needs child. Miss Pretzel is a little shy and timid upon first meeting, and she does warm up to ladies much quicker than gents."
physicist,Enrico Fermi,"Enrico Fermi (29 September 1901 - 28 November 1954) was an Italian (later naturalized American) physicist and the creator of the world's first nuclear reactor, the Chicago Pile-1. He has been called the ""architect of the nuclear age"" and the ""architect of the atomic bomb"". He was one of very few physicists to excel in both theoretical physics and experimental physics. Fermi was awarded the 1938 Nobel Prize in Physics for his work on induced radioactivity by neutron bombardment and for the discovery of transuranium elements. With his colleagues, Fermi filed several patents related to the use of nuclear power, all of which were taken over by the US government. He made significant contributions to the development of statistical mechanics, quantum theory, and nuclear and particle physics. Fermi's first major contribution involved the field of statistical mechanics. After Wolfgang Pauli formulated his exclusion principle in 1925, Fermi followed with a paper in which he applied the principle to an ideal gas, employing a statistical formulation now known as Fermi–Dirac statistics. Today, particles that obey the exclusion principle are called ""fermions"". Pauli later postulated the existence of an uncharged invisible particle emitted along with an electron during beta decay, to satisfy the law of conservation of energy. Fermi took up this idea, developing a model that incorporated the postulated particle, which he named the ""neutrino"". His theory, later referred to as Fermi's interaction and now called weak interaction, described one of the four fundamental interactions in nature. Through experiments inducing radioactivity with the recently discovered neutron, Fermi discovered that slow neutrons were more easily captured by atomic nuclei than fast ones, and he developed the Fermi age equation to describe this. ","Eddie is a very sweet and handsome boy, good with other dogs and wants to play, has medium energy. a mix of lots of breeds. There's some shepherd in there, maybe some hound (inherent prey drive so no cats please), maybe some lab, maybe a small terrier like a Jack Russell (those ears!)............but he's a big beefy guy! He is full of energy and sits politely for a treat. He loves going for walks outside with his humans! Eddie is working on positive reinforcement and knows his basic commands such as Sit, Stay, Down and Paw.....still working on come. He loves people attention and is very comfortable with new people. He loves, walks, peanut butter bones and rubber toys."
physicist,Erwin Schrödinger,"Erwin Rudolf Josef Alexander Schrödinger (UK: /ˈʃrɜːdɪŋər/, US: /ˈʃroʊ-/; German: ; 12 August 1887 – 4 January 1961), sometimes written as Erwin Schrodinger or Erwin Schroedinger, was a Nobel Prize-winning Austrian-Irish physicist who developed a number of fundamental results in quantum theory: the Schrödinger equation provides a way to calculate the wave function of a system and how it changes dynamically in time. In addition, he was the author of many works on various aspects of physics: statistical mechanics and thermodynamics, physics of dielectrics, colour theory, electrodynamics, general relativity, and cosmology, and he made several attempts to construct a unified field theory. In his book What Is Life? Schrödinger addressed the problems of genetics, looking at the phenomenon of life from the point of view of physics. He paid great attention to the philosophical aspects of science, ancient and oriental philosophical concepts, ethics, and religion. He also wrote on philosophy and theoretical biology. He is also known for his ""Schrödinger's cat"" thought experiment.","Piggy boy, Dinsmore, is a delight to have around! He came to us shy and nervous, hiding in corners for the first 24 hours. While he still gets startled occasionally, he is no longer that shaky pup of two weeks ago. Besides looking exactly like the world's funniest piglet, Dinsmore is playful, snuggly, engaging, and loyal. He loves the company of everyone, seamlessly hanging out with all humans, dogs, cats, and even goats and actual pigs! We've been to the beach several times together and he just runs along having the best time. Dini's favorite things are toys to destroy, balls to obsess over, making piggy snorty noises when playing, cuddling with humans and dogs, and wagging his scruffy tail. While he may come across as shy and scared when you first meet, he will quickly show you his goofy, sassy attitude! We love this little pig!"
athlete,Serena Williams,"Serena Jameka Williams (born September 26, 1981) is an American professional tennis player and former world No. 1 in women's single tennis. She has won 23 Grand Slam singles titles, the most by any player in the Open Era, and the second-most of all time behind Margaret Court (24). The Women's Tennis Association (WTA) ranked her world No. 1 in singles on eight separate occasions between 2002 and 2017. She reached the No. 1 ranking for the first time on July 8, 2002. On her sixth occasion, she held the ranking for 186 consecutive weeks, tying the record set by Steffi Graf. In total, she has been No. 1 for 319 weeks, which ranks third in the Open Era among female players behind Graf and Martina Navratilova. Williams is widely regarded to be one of the greatest female tennis players of all time. She holds the most Grand Slam titles in singles, doubles, and mixed doubles combined among active players. Her 39 Grand Slam titles put her joint-third on the all-time list and second in the Open Era: 23 in singles, 14 in women's doubles, and two in mixed doubles. She is the most recent female player to have held all four Grand Slam singles titles simultaneously (2002–03 and 2014–15) and the third player to achieve this twice, after Rod Laver and Graf. She is also the most recent player to have won a Grand Slam title on each surface (hard, clay and grass) in one calendar year (2015). She is also, together with her older sister Venus, the most recent player to have held all four Grand Slam women's doubles titles simultaneously (2009–10).","Babe is a a young gal around 1 years old. Babe can tend to be high energy and would love an active walk that will take her on plenty of adventures! She loves people, other dogs, and enjoys spending her days playing and getting all her energy out! "
athlete,Venus Williams,"Venus Ebony Starr Williams (born June 17, 1980) is an American professional tennis player. A former world No. 1 in both singles and doubles, Williams is generally regarded as one of the all-time greats of women's tennis and, along with younger sister Serena Williams, is credited with ushering in a new era of power and athleticism on the women's professional tennis tour. Williams has been ranked world No. 1 by the Women's Tennis Association for a total of 19 weeks (11 in singles and 8 in doubles). She first reached the No. 1 ranking in singles on February 25, 2002, becoming the first African American woman to do so in the Open Era, and the second all time since Althea Gibson. She became the world No. 1 in doubles for the first time on June 7, 2010 alongside Serena, after the pair won their fourth consecutive Grand Slam doubles crown. Williams' seven Grand Slam singles titles are tied for 12th on the all-time list, and 8th on the Open Era list, more than any other active female player except her sister. She has reached 16 Grand Slam finals, most recently at Wimbledon in 2017. Her five Wimbledon singles titles tie her with two other women for eighth place on the all-time list, but give her sole possession of No. 4 on the Open Era List, trailing only the nine titles of Martina Navratilova and the seven of Serena Williams and Steffi Graf. From the 2000 Wimbledon Championships to the 2001 US Open, Williams won four of the six Grand Slam singles tournaments in that span. At the 2021 Australian Open, Williams extended her record as the all-time leader, male or female, in Grand Slams played, with 88.[","James is a happy dog that loves long walks, meeting new dogs, basking in the sun & bonding with his human. At home James tends to be low key. While he does enjoy keeping you company hes also content sitting in his crate playing with his toy dinosaur or chewing a bully stick. James is very proud to be house broken and will let you know when he needs a walk. "
athlete,Jackie Joyner-Kersee,"Jacqueline Joyner-Kersee (born March 3, 1962) is an American retired track and field athlete, ranked among the all-time greatest athletes in the heptathlon as well as long jump. She won three gold, one silver, and two bronze Olympic medals in those two events at four different Olympic Games. Sports Illustrated for Women magazine voted Joyner-Kersee the Greatest Female Athlete of All-Time. She is on the Board of Directors for USA Track & Field (U.S.A.T.F.), the national governing body of the sport. Joyner-Kersee is an active philanthropist in children's education, racial equality and women's rights. She is a founder of the Jackie Joyner-Kersee Foundation, which encourages young people in East St. Louis to pursue athletics and academics. She partnered with Comcast to create the Internet Essentials program in 2011, which costs $9.95/month for low-income Americans and offers low-cost laptops and 40 hours/month of high-speed internet service. Since its inception, it has provided internet access to 4 million Americans. Joyner-Kersee is one of the most famous athletes to have overcome severe asthma.",Tanner is a very sweet young guy who loves a good snuggle. He is happy as a clam to crawl into your lap (yes at 32lbs) and have a good nap. He loves to play with toys and is great at fetching those pesky tennis balls. He is very smart and really seems to enjoy training so if your dog walks include a pup who can do all the tricks Tanner can make that happen for you.
athlete,Simone Biles,"Simone Arianne Biles (born March 14, 1997) is an American artistic gymnast. With a combined total of 30 Olympic and World Championship medals, Biles is the most decorated American gymnast and the world's third most decorated gymnast, behind Belarus' Vitaly Scherbo (33 medals) and Russia's Larisa Latynina (32 medals). At the 2016 Summer Olympics in Rio de Janeiro, Biles won individual gold medals in all-around, vault and floor; bronze in balance beam; and gold as part of the United States team, dubbed the ""Final Five"". Biles is a five-time World all-around champion (2013–2015, 2018–19), five-time World floor exercise champion (2013–2015, 2018–19), three-time World balance beam champion (2014–15, 2019), two-time World vault champion (2018–19), a six-time United States national all-around champion (2013–2016, 2018–19), and a member of the gold medal-winning American teams at the 2014, 2015, 2018, and 2019 World Artistic Gymnastics Championships. Additionally, she is a three-time World silver medalist (2013 and 2014 on vault, 2018 on uneven bars) and a three-time World bronze medalist (2015 on vault, 2013 and 2018 on balance beam). Biles is the gymnast with the most World medals (25) and most World gold medals (19), having surpassed Scherbo's record 23 World medals by winning her 24th and 25th, both gold, at the 2019 competition in Stuttgart.[","Hattie loves people so, so much! Young or old, it doesn't matter to her. She loves to give out her signature Hattie Hugs: placing her front legs on your waist or shoulders and just standing there, soaking in the cuddles. Because of this, she may be too strong for a toddler. Anyone else is just fine! She's very tolerant, and doesn't snap or growl even if you take her favorite toy from right under her nose or hold her on her back like a baby. She's just glad to be included. Hattie is very much a couch dog, but she loves to go sniff around the great outdoors, too. Yeah, she's a bit of a diva, and will dramatically drop to the ground when she gets hot. Don't worry about that, though, because she forgets all about that sass when she's in an interesting environment with new people, dogs, sights, or smells."
athlete,Larisa Latynina,"Larisa Semyonovna Latynina (born 27 December 1934) is a former Soviet artistic gymnast. Between 1956 and 1964 she won 14 individual Olympic medals and four team medals. She holds the record for the most Olympic gold medals by a gymnast, male or female, with 9. Her total of 18 Olympic medals was a record for 48 years. She held the record for individual event medals with 14 for 52 years. She is credited with helping to establish the Soviet Union as a dominant force in gymnastics. In 1956, at the age of 21, Latynina made her Olympic debut at the Melbourne Olympic Games. In the all-around event, she fought off stiff competition to win gold. She finished first in the vault, second in the uneven bars and in the exercise on the floor, and fourth in the balancing beam. She also led the Soviet Union in Team Event to victory. After a very successful World Championships in 1958 (winning five out of six titles despite competing whilst four months pregnant and medaling in every event), Latynina was the favorite for the 1960 Summer Olympics in Rome. In the all-around event she led the Soviet Union to take the first four places, thereby also securing a win in the team competition by a margin of nine points.",Nash has come a long way from when we adopted him. He has gotten good at walking on leash but will react back to dogs that react to him. He has shown promise in being able to become friends with some very easy-going female dogs
athlete,Marta Vieira da Silva,"Marta Vieira da Silva (born 19 February 1986), commonly known as Marta), is a Brazilian footballer who plays for the Orlando Pride in the National Women's Soccer League and the Brazil national team as a forward. She holds the record for most goals in Brazilian International Football, male or female, with 109 goals for her country. With 17 goals, she holds the record for most goals scored at FIFA Women's World Cup tournaments. Moreover, she is the first footballer of either gender to score at five World Cup editions, a feat matched by Christine Sinclair in 2019. Marta is often regarded as the greatest female footballer of all time. She has been named FIFA World Player of the Year six times, five of them being consecutive (from 2006 through 2010) and the latest award coming in 2018. She was a member of the Brazilian national teams that won the silver medal at the 2004 and 2008 Summer Olympics. She was also awarded the Golden Ball (MVP) at the 2004 FIFA U-19 Women's World Championship and won both the Golden Ball award as the best player and the Golden Boot award as the top scorer in the 2007 Women's World Cup after leading Brazil to the final of the tournament.","Ariel is a good-natured, friendly and happy girl who really likes people. She was born in February of 2009 and weighs close to 60 pounds. (Okay, she might be a little chunky right now!) She plays great with many dogs but doesn't like all dogs. She is picky about her friends! She really likes the water and plays in the kiddie pool as much as possible. She is easy to bathe and rides well in the car"
athlete,Homare Sawa,"Homare Sawa (born 6 September 1978) is a former Japanese professional women's football player. She captained the Japan national team to 2011 World Cup title and the silver medal at the 2012 Summer Olympics. In 2012, she was named the 2011 FIFA Women's World Player of the Year. She previously played for the Atlanta Beat of the Women's United Soccer Association (WUSA), Nippon TV Beleza, the Washington Freedom of Women's Professional Soccer (WPS), and INAC Kobe Leonessa in the Nadeshiko League Division 1. Sawa was born in Fuchū, Tokyo on 6 September 1978. She began playing football at the age of six. While watching her older brother train, she was invited by his coach to join the boys' team on the pitch. In 1991, long considered Japan's finest female footballer, Sawa was promoted to Yomiuri Beleza (later NTV Beleza) from youth team by manager Kazuhiko Takemoto. She made her debut in L.League, Japan's highest domestic league, at the young age of 12. She played as forward and played 136 matches and scored 79 goals in League. She was also selected Best Eleven 5 times (1993, 1995, 1996, 1997 and 1998). With the birth of the Women's United Soccer Association (WUSA) in 2001, Sawa found herself playing in the highest-level professional women's league in the United States, for the Atlanta Beat. She scored the first goal in the club's history, and was a centerpiece of the Beat's three seasons in the league, helping them into the playoffs each year. ","Daisy is such a rambunctious, playful young girl. She's already found so many fun things to do! She loves romping in the shallow end of their swimming pool, dunking her head underwater. Then she's off to run laps around the yard and play fetch with a tennis ball or stuffed animal, whipping her head around to make her toy fly away. This spunky girl jumps up to meet new people and immediately wants to play with them. Wanting love, she'll crawl right into your lap and rub her head on you, giving kisses. Then she'll flop over to say it's time for belly rubs. She's a pup who's going through her teething phase, so we're teaching her to focus on chewing her teething toys. She's also working on her leash and potty training and learning to walk nicely alongside her person. And she goes in her crate to settle down for naps, sometimes sleeping belly up on her back. Daisy is an outgoing, energetic girl "
athlete,Sun Wen,"Sun Wen (born April 6, 1973 in Shanghai) is a retired Chinese professional football (soccer) player. She previously captained the China women's national football team and the Atlanta Beat of the Women's United Soccer Association (WUSA). In 2000, she won the FIFA Female Player of the Century along with Michelle Akers. Sun won both the Golden Ball (top player) and Golden Boot (top scorer) for her performance at the 1999 FIFA Women's World Cup. She is considered one of the all-time greats of the women's game. Sun played for the Shanghai team in the Chinese women's league. Sun played for the Atlanta Beat of the Women's United Soccer Association from 2001 to 2002. She was the first overall pick of the WUSA's Inaugural Draft, but a knee and ankle injury limited her first season with the Beat to 13 games with five starts. During the league's semifinal match against the Philadelphia Charge, the Beat were down 2–0, however, Sun scored on a penalty kick and then provided the assist on the equalizer goal with a corner kick headed in by Cindy Parlow.","MoMo is a rescue dog. He is currently working on crate training, potty training, not jumping and sitting. He is extremely loving, gentle, has the most beautiful eyes that speak to your soul, loves any attention and especially loves to have his face held in your hands and his belly rubbed. He gets along with other dogs, but sometimes does not know his limits and does not take correction from other dogs. He is eager to learn"
athlete,Wendie Renard,"Wéndèleine Thérèse Renard (born 20 July 1990) is a French professional footballer who plays as a central defender for Division 1 Féminine club Olympique Lyonnais, which she captains, and the France national team. A goal-scoring defender, Renard is one of the most decorated players in modern women's club football. She has won a record 14 French League titles and seven European Cups. In 2019, the New York Times described her as an ""institution"" at Lyon, the most successful club in European women's football. Renard is physically strong, gifted with pace, good technique and is an effective set-piece taker. Renard was born in Martinique, a French island in the Lesser Antilles. She is the youngest of four daughters, and her father died of lung cancer when she was eight years old. Prior to moving to the mainland, Renard played for Essor-Préchotain on her home island of Martinique.","Sandy is a sweet, friendly, calm girl who loves people! She enjoys belly rubs and just chilling on the sofa! Sandy has done well when introduced to other dogs. She currently lives with one other dog in her home. Sandy is a very good girl and knows basic commands like sit and stay. Sandy is 3 years old and weighs about 60 lbs. "
