class,name,profile description
writer,Gabriel García Márquez,"Gabriel García Márquez (6 March 1927 – 17 April 2014) was a Colombian novelist, short-story writer, screenwriter, and journalist, known affectionately as Gabo  or Gabito  throughout Latin America. Considered one of the most significant authors of the 20th century, particularly in the Spanish language, he was awarded the 1972 Neustadt International Prize for Literature and the 1982 Nobel Prize in Literature. He pursued a self-directed education that resulted in leaving law school for a career in journalism. From early on he showed no inhibitions in his criticism of Colombian and foreign politics. In 1958 he married Mercedes Barcha; they had two sons, Rodrigo and Gonzalo. García Márquez started as a journalist and wrote many acclaimed non-fiction works and short stories, but is best known for his novels, such as One Hundred Years of Solitude (1967), Chronicle of a Death Foretold (1981), and Love in the Time of Cholera (1985). His works have achieved significant critical acclaim and widespread commercial success."
writer,Philip K. Dick,"Philip Kindred Dick (December 16, 1928 – March 2, 1982) was an American writer known for his work in science fiction. He wrote 44 published novels and approximately 121 short stories, most of which appeared in science fiction magazines during his lifetime. His fiction explored varied philosophical and social themes, and featured recurrent elements such as alternate realities, simulacra, monopolistic corporations, drug abuse, authoritarian governments, and altered states of consciousness. His work was concerned with questions surrounding the nature of reality, perception, human nature, and identity. Dick's stories typically focus on the fragile nature of what is real and the construction of personal identity. His stories often become surreal fantasies, as the main characters slowly discover that their everyday world is actually an illusion assembled by powerful external entities, such as the suspended animation in Ubik, vast political conspiracies or the vicissitudes of an unreliable narrator. ""All of his work starts with the basic assumption that there cannot be one, single, objective reality"", writes science fiction author Charles Platt. ""Everything is a matter of perception. The ground is liable to shift under your feet. A protagonist may find himself living out another person's dream, or he may enter a drug-induced state that actually makes better sense than the real world, or he may cross into a different universe completely."""
writer,Neal Stephenson,"Neal Town Stephenson (born October 31, 1959) is an American writer known for his works of speculative fiction. His novels have been categorized as science fiction, historical fiction, cyberpunk, postcyberpunk, and baroque. Stephenson's work explores mathematics, cryptography, linguistics, philosophy, currency, and the history of science. He also writes non-fiction articles about technology in publications such as Wired. He has written novels with his uncle, George Jewsbury (""J. Frederick George""), under the collective pseudonym Stephen Bury. Stephenson has worked part-time as an advisor for Blue Origin, a company (founded by Jeff Bezos) developing a spacecraft and a space launch system, and is also a cofounder of Subutai Corporation, whose first offering is the interactive fiction project The Mongoliad. He is currently Magic Leap's Chief Futurist."
writer,Frank Herbert,"Franklin Patrick Herbert Jr. (October 8, 1920 – February 11, 1986) was an American science-fiction author best known for the 1965 novel Dune and its five sequels. Though he became famous for his novels, he also wrote short stories and worked as a newspaper journalist, photographer, book reviewer, ecological consultant, and lecturer. The Dune saga, set in the distant future, and taking place over millennia, explores complex themes, such as the long-term survival of the human species, human evolution, planetary science and ecology, and the intersection of religion, politics, economics and power in a future where humanity has long since developed interstellar travel and settled many thousands of worlds. Dune is the best-selling science fiction novel of all time, and the whole series is widely considered to be among the classics of the genre."
writer,James Baldwin,"James Arthur Baldwin (August 2, 1924 – December 1, 1987) was an American novelist, playwright, essayist, poet, and activist. His essays, collected in Notes of a Native Son (1955), explore intricacies of racial, sexual, and class distinctions in the Western society of the United States during the mid twentieth-century. Some of Baldwin's essays are book-length, including The Fire Next Time (1963), No Name in the Street (1972), and The Devil Finds Work (1976). An unfinished manuscript, Remember This House, was expanded and adapted for cinema as the Academy Award-nominated documentary film I Am Not Your Negro (2016). One of his novels, If Beale Street Could Talk, was adapted into the Academy Award-winning film of the same name in 2018, directed and produced by Barry Jenkins."
writer,Langston Hughes,"James Mercer Langston Hughes (February 1, 1901 – May 22, 1967) was an American poet, social activist, novelist, playwright, and columnist from Joplin, Missouri. One of the earliest innovators of the then-new literary art form called jazz poetry, Hughes is best known as a leader of the Harlem Renaissance. He famously wrote about the period that ""the Negro was in vogue"", which was later paraphrased as ""when Harlem was in vogue."" Growing up in a series of Midwestern towns, Hughes became a prolific writer at an early age. He moved to New York City as a young man, where he made his career. He graduated from high school in Cleveland, Ohio and soon began studies at Columbia University in New York City. Although he dropped out, he gained notice from New York publishers, first in The Crisis magazine, and then from book publishers and became known in the creative community in Harlem. He eventually graduated from Lincoln University. In addition to poetry, Hughes wrote plays, and short stories. He also published several non-fiction works. From 1942 to 1962, as the civil rights movement was gaining traction, he wrote an in-depth weekly column in a leading black newspaper, The Chicago Defender."
writer,Alex Haley,"Alexander Murray Palmer Haley (August 11, 1921 – February 10, 1992) was an American writer and the author of the 1976 book Roots: The Saga of an American Family. ABC adapted the book as a television miniseries of the same name and aired it in 1977 to a record-breaking audience of 130 million viewers. In the United States, the book and miniseries raised the public awareness of black American history and inspired a broad interest in genealogy and family history. Haley's first book was The Autobiography of Malcolm X, published in 1965, a collaboration through numerous lengthy interviews with Malcolm X. He was working on a second family history novel at his death. Haley had requested that David Stevens, a screenwriter, complete it; the book was published as Queen: The Story of an American Family. It was adapted as a miniseries, Alex Haley's Queen, broadcast in 1993."
writer,bell hooks,"Gloria Jean Watkins (born September 25, 1952), better known by her pen name bell hooks, is an American author, professor, feminist, and social activist. The name ""bell hooks"" is borrowed from her maternal great-grandmother, Bell Blair Hooks. The focus of hooks' writing has been the intersectionality of race, capitalism, and gender, and what she describes as their ability to produce and perpetuate systems of oppression and class domination. She has published more than 30 books and numerous scholarly articles, appeared in documentary films, and participated in public lectures. She has addressed race, class, and gender in education, art, history, sexuality, mass media, and feminism. In 2014, she founded the bell hooks Institute at Berea College in Berea, Kentucky."
writer,Bruce Sterling,"Michael Bruce Sterling (born April 14, 1954) is an American science fiction author known for his novels and short fiction and editorship of the Mirrorshades anthology. Sterling's first science fiction story, Man-Made Self, was sold in 1976. He is the author of science fiction novels including Schismatrix (1985), Islands In The Net (1988), and Heavy Weather (1994). In 1992, he published his first nonfiction book, The Hacker Crackdown: Law And Disorder On The Electronic Frontier.  In the early 1980s, Sterling wrote a series of stories set in the Shaper/Mechanist universe: the Solar System is colonized, with two major warring factions. The Mechanists use a great deal of computer-based mechanical technologies; the Shapers do genetic engineering on a massive scale. The situation is complicated by the eventual contact with alien civilizations; humanity eventually splits into many subspecies, with the implication that some of these vanish from the galaxy, reminiscent of the singularity in the works of Vernor Vinge."
writer,Grace Lee Boggs,"Grace Lee Boggs (June 27, 1915 – October 5, 2015) was an American author, social activist, philosopher, and feminist. She is known for her years of political collaboration with C. L. R. James and Raya Dunayevskaya in the 1940s and 1950s. In the 1960s she and James Boggs, her husband of some forty years, took their own political direction. By 1998, she had written four books, including an autobiography. In 2011, still active at the age of 95, she wrote a fifth book, The Next American Revolution: Sustainable Activism for the Twenty-First Century, with Scott Kurashige and published by the University of California Press. She is regarded as a key figure in the Asian American Movement. Facing significant barriers in the academic world in the 1940s, she took a low-paying job at the University of Chicago Philosophy Library. As a result of their activism on tenants' rights, she joined the far-left Workers Party, known for its Third Camp position regarding the Soviet Union, which it saw as bureaucratic collectivist. At this point, she began the trajectory that she would follow for the rest of her life: a focus on struggles in the African-American community."
writer,Donald Goines,"Donald Goines (pseudonym: Al C. Clark; December 15, 1936 – October 21, 1974) was an African-American writer of urban fiction. His novels were deeply influenced by the work of Iceberg Slim. Goines continued to write novels at an accelerated pace in order to support his drug addictions, with some books taking only a month to complete. His sister Joan Goines Coney later said that Goines wrote at such an accelerated pace in order to avoid committing more crimes and based many of the characters in his books on people he knew in real life. He completed 16 books."
